year,last_frost_date
1990,1990-04-18
1991,1991-04-11
1992,1992-04-28
1993,1993-04-22
1994,1994-05-02
1995,1995-04-06
1996,1996-05-13
1997,1997-04-26
1998,1998-04-05
1999,1999-03-30
2000,2000-04-12
2001,2001-04-18
2002,2002-05-19
2003,2003-04-23
2004,2004-05-03
2005,2005-05-11
2006,2006-04-10
2007,2007-04-15
2008,2008-04-15
2009,2009-04-23
2010,2010-04-28
2011,2011-04-21
2012,2012-04-27
2013,2013-04-22
2014,2014-04-16
2015,2015-04-24
2016,2016-04-12
2017,2017-05-08
2018,2018-04-29
2019,2019-04-01
2020,2020-05-09
2021,2021-05-11
2024,2024-04-22
